supplement,alt name,Claim-Evidence,fitness category,sport or exercise type tested,popularity,number of studies examined,number of citations,efficacy,notes,% positive studies/ trials
AAKG,L-arginine alpha-ketoglutarate,"[('peak power output', 1.0), ('body composition, aerobic capacity, muscle endurance', 0.0)]","strength–power|fat burning–muscle building, aerobic–endurance",weight training,242,2,20,,A 2006 study found AAKG supplementation improved maximum effort 1-repetition bench press and Wingate peak power performance.,50.0
BCAAs,"branched-chain amino acids, leucine, isoleucine, valine","[('fatigue resistance', 4.0), ('aerobic performance, endurance, power', 3.0), ('immune defences in athletes', 1.0), ('body composition', 0.0), ('muscle damage + soreness', 6.0)]","aerobic–endurance|aerobic–endurance, strength–power|general fitness|fat burning–muscle building|recovery–injury prevention","cycling, circuit training|cycling, other|running, other|swimming, rowing|weight training, circuit training, cycling, swimming",5490,17,660,,Branched-chain amino acids|Taking branched-chain amino acids before exercise can reduce damage to muscle tissue and soreness caused by training (and overtraining). ,70.0
Baking soda,"Bicarbonate of soda, sodium bicarbonate, NaHCO3","[('high-intensity performance', 5.0)]",anaerobic–high-intensity,"rowing, cycling, swimming, running, other",947,14,140,,"Gulping down baking soda (sodium bicarbonate) makes the blood more alkaline, improving performance in lactic acid fueled events like the 800m sprint. Downside: a badly upset stomach.",64.29
Beetroot juice,,"[('aerobic efficiency', 4.0)]",aerobic–endurance,"running, cycling",267,4,5,,"The nitrates in beetroot juice improve time to exhaustion and various measures of oxygen consumption during aerobic exercise, also reducing resting blood pressure. Downsides: purple pee.",100.0
Beta alanine,,"[('high-intensity performance', 1.0), ('training tolerance, fatigue', 2.0), ('muscular endurance, power', 1.0)]","aerobic–endurance, anaerobic–high-intensity|recovery–injury prevention, sports psychology|strength–power, anaerobic–high-intensity","rowing, cycling, running|running, other|weight training",920,7,284,,,75.0
Betaine,,"[('exercise tolerance in hot conditions', 1.0), ('sprint performance', 0.0)]",general fitness|anaerobic–high-intensity,running,1040,2,162,,,50.0
Bitter orange,"Citrus aurantium, sour orange, p-synephrine, synephrine, octopamine (active ingredients)","[('weight loss', 0.0)]",fat burning–muscle building,other,406,3,1680,,"Bitter orange may raise resting metabolic rate – burning more calories – and possibly also heart rate and blood pressure. However, commercial preparations normally contain caffeine too and effects can be difficult to untangle.",0.0
Bovine colostrum,,"[('high intensity performance, endurance', 2.0), ('immune defences in athletes', 1.0), ('muscle gain', 1.0), ('strength, power, sprint performance', 1.0)]","aerobic–endurance|general fitness|fat burning–muscle building|strength–power, anaerobic–high-intensity","cycling, running, rowing, other|swimming, cycling|weight training|weight training, cycling, other",165,12,194,,,65.0
CLA,Conjugated linoleic acid,"[('body composition', 4.0), ('endurance', 0.0)]",fat burning–muscle building|aerobic–endurance,other,3620,12,374,,May help obese people lose fat and gain muscle. Downsides: may also increase markers of inflammation in the short term.,27.275
Caffeine,,"[('intense aerobic performance', 4.0), ('endurance performance', 5.0), ('skill, agility + speed', 3.0), ('performance when sleep-deprived', 4.0), ('mood during exercise', 6.0), ('high-intensity performance', 3.0)]",aerobic–endurance|sports psychology|anaerobic–high-intensity,"cycling, rowing|cycling, running|football, cycling, running, other|other|weight training, cycling, other|weight training, cycling, running",7250,56,409,,"Caffeine may improve footballers' passing accuracy, but reaction time and coordination tests show negligible benefit over placebo. One study found caffeined-up soldiers fired more shots more quickly, but were no better at telling the enemy apart.|Sleep-deprived soldiers given caffeine showed better performance in obstacle running, marksmanship, vigilance tests and simulated driving tasks than those who went without.|Old news: caffeine boosts mood and reduces perceived exertion during exercise, keeping you motivated. Downsides: anxiety and palpitations at high doses or in the caffeine-sensitive.",71.17666666666666
Calcium pyruvate,,"[('body composition, metabolism', 0.0)]","fat burning–muscle building, general fitness",other,571,1,52,,,0.0
